product_id,name,category,price,stock
1,Samsung Galaxy S23,Electronics,74999,45
2,Noise ColorFit Pro 4,Electronics,3499,120
3,Prestige Induction Cooktop,Home & Kitchen,2850,35
4,Levi's Men's Jeans,Fashion,2499,80
5,Nike Air Max Shoes,Fashion,7999,25
6,OnePlus Nord Buds 2,Electronics,2999,95
7,Milton Thermosteel Flask,Home & Kitchen,699,150
8,Woodland Leather Wallet,Fashion,1299,60
9,Boat Airdopes 141,Electronics,1499,200
10,Pigeon Pressure Cooker 5L,Home & Kitchen,1899,40
11,Red Tape Casual Shoes,Fashion,2199,55
12,Realme Smart TV 43 inch,Electronics,26999,18
13,Cello Opalware Dinner Set,Home & Kitchen,1599,70
14,Peter England Formal Shirt,Fashion,1399,90
15,Mi Power Bank 20000mAh,Electronics,1899,110
16,Hawkins Futura Pressure Cooker,Home & Kitchen,2499,45
17,Adidas Running Shoes,Fashion,4999,38
18,JBL Go 3 Speaker,Electronics,2799,85
19,Prestige Omega Deluxe Granite Kadai,Home & Kitchen,1249,65
20,Allen Solly Women's Top,Fashion,899,100
21,Philips Air Fryer,Home & Kitchen,8999,22
22,Fossil Analog Watch,Fashion,6499,30
23,HP DeskJet Printer,Electronics,4999,28
24,Tupperware Container Set,Home & Kitchen,799,140
25,Puma Track Pants,Fashion,1599,75
26,Sony WH-1000XM5 Headphones,Electronics,29999,15
27,Bajaj Majesty RCX 5 Rice Cooker,Home & Kitchen,2199,55
28,Raymond Formal Trousers,Fashion,2799,65
29,Logitech MX Master 3 Mouse,Electronics,7999,42
30,Wonderchef Granite Cookware Set,Home & Kitchen,3499,38
